"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-04-30,58844,"02653","MA","Cape Cod","Barnstable","Orleans",8499,610700,0.0022977186935828,0.0114276250414044,0.0407293796864349,0.0338736705556717,0.00382922143051823,"2005-10","2005-Q4",632700,-0.0347716137189821,"2004-12"
2017-04-30,92199,"78009","TX","San Antonio","Medina","Castroville",8500,181000,0.00388241819190238,0.00221483942414175,-0.00330396475770925,0.0148974756399496,,"2015-09","2015-Q3",183000,-0.0109289617486339,"2015-04"
2017-04-30,65423,"18330","PA","East Stroudsburg","Monroe","Effort",8501,156200,0.0149447693307342,0.0483221476510067,0.1189111747851,0.0234597788533861,-0.0235326241087263,"2006-11","2006-Q4",203000,-0.230541871921182,"2003-02"
2017-04-30,64433,"16055","PA","Pittsburgh","Butler","Buffalo Township",8502,212200,-0.000471031559114461,0.00141576215195847,0.0331061343719572,0.0353092777964508,0.0249198382004321,"2017-03","2017-Q1",212300,-0.000471031559114461,"2017-03"
2017-04-30,75201,"39191","MS","Jackson","Copiah","Wesson",8503,112900,0.00266429840142096,0.0171171171171171,0.0367309458218549,0.0647508579139382,0.00708892539836437,"2017-04","2017-Q2",112900,0,"2017-04"
2017-04-30,88492,"70129","LA","New Orleans","Orleans","New Orleans",8504,119300,-0.000837520938023451,0.00590219224283305,0.0613879003558719,0.0799829094064364,0.041554486837595,"2017-03","2017-Q1",119400,-0.000837520938023451,"2017-03"
2017-04-30,62228,"11752","NY","New York","Suffolk","Town of Islip",8505,344300,0.017434988179669,0.0522616136919315,0.104942233632863,0.0205524431742476,-0.0180526944522945,"2007-02","2007-Q1",415400,-0.171160327395282,"2004-08"
2017-04-30,71907,"32266","FL","Jacksonville","Duval","Neptune Beach",8506,387600,0.00649182030641392,0.0186596583442838,0.0760688506385341,0.102363625840022,0.0049026056340018,"2017-04","2017-Q2",387600,0,"2017-04"
2017-04-30,76549,"43146","OH","Columbus","Pickaway","Orient",8507,177900,-0.00168350168350168,-0.00336134453781513,0.0385288966725044,0.0527166765416367,0.0163275585942915,"2017-01","2017-Q1",178500,-0.00336134453781513,"2016-12"
2017-04-30,74119,"37033","TN","Nashville","Hickman","Centerville",8508,117100,0.00256849315068493,0.0103537532355479,0.146914789422135,0.0775672178637365,0.029332606241482,"2017-04","2017-Q2",117100,0,"2017-04"
2017-04-30,99928,"98629","WA","Portland","Clark","La Center",8509,396900,0.00812801625603251,0.0205708408331191,,0.0830836166488817,0.00617598229919469,"2017-04","2017-Q2",396900,0,"2017-04"
2017-04-30,69942,"28429","NC","Wilmington","New Hanover","Castle Hayne",8510,149100,0.0108474576271186,0.0368567454798331,0.0688172043010753,0.051305858925651,-0.000934149652122906,"2007-09","2007-Q3",153300,-0.0273972602739726,"2007-02"
2017-04-30,84325,"60069","IL","Chicago","Lake","Lincolnshire",8511,452300,-0.00920043811610077,-0.0102844638949672,-0.00941743320192729,0.0368715023645034,-0.0192602152674258,"2007-05","2007-Q2",550600,-0.178532509989103,"2004-03"
2017-04-30,67594,"23219","VA","Richmond","Richmond City","Richmond",8512,217700,0.00276370336250576,0.00693802035152636,0.0729423361261705,0.0311998049956894,-0.00659836175839001,"2006-12","2006-Q4",236600,-0.0798816568047337,"2006-04"
2017-04-30,73597,"35759","AL","Huntsville","Madison","Meridianville",8513,168900,0.00595592614651578,0.0168573148705599,0.0342927127985303,0.00419679020672525,-0.001118020303151,"2008-11","2008-Q4",180800,-0.0658185840707965,"2008-01"
2017-04-30,60442,"06787","CT","Torrington","Litchfield","Thomaston",8514,180500,-0.00386313465783664,-0.00878638110928062,-0.00276243093922652,0.0146985737844105,-0.0256666249003008,"2007-11","2007-Q4",240900,-0.250726442507264,"2004-01"
2017-04-30,91330,"76249","TX","Dallas-Fort Worth","Denton","Krum",8515,186400,0.00539374325782093,0.0253025302530253,0.0990566037735849,0.081815135723126,0.0334791349377219,"2017-04","2017-Q2",186400,0,"2017-04"
2017-04-30,65794,"19127","PA","Philadelphia","Philadelphia","Philadelphia",8516,223200,-0.008,-0.0136986301369863,0.0454332552693208,0.0185521816190262,-0.0039881669809736,"2008-02","2008-Q1",239300,-0.0672795653990807,"2005-11"
