PED,BIC,AVS,FTC,ZCD,POP,AHI,ZHV,ALB,APP
0,0,1,1,15206,32482,28517,165800,6623,3
0,0,2,2,15206,32482,28517,165800,6623,1
0,0,2,2,15206,32482,28517,165800,6623,3
2,1,1,2,15206,32482,28517,165800,6623,4
2,0,1,2,15206,32482,28517,165800,6623,4
2,2,2,2,15206,32482,28517,165800,6623,2
2,0,1,3,15206,32482,28517,165800,6623,4
1,1,1,3,15206,32482,28517,165800,6623,3
1,1,1,3,15206,32482,28517,165800,6623,4
2,2,0,1,15206,32482,28517,165800,6623,1
2,0,1,2,15206,32482,28517,165800,6623,3
0,0,1,1,15206,32482,28517,165800,6623,2
1,1,0,3,15207,13203,28156,83700,2946,0
1,1,1,4,15207,13203,28156,83700,2946,4
0,1,1,3,15207,13203,28156,83700,2946,3
0,1,1,2,15207,13203,28156,83700,2946,4
1,1,1,1,15207,13203,28156,83700,2946,4
1,1,1,3,15207,13203,28156,83700,2946,4
0,1,2,2,15207,13203,28156,83700,2946,1
1,0,1,3,15207,13203,28156,83700,2946,4
1,0,1,1,15207,13203,28156,83700,2946,3
0,1,1,2,15207,13203,28156,83700,2946,4
0,0,1,2,15207,13203,28156,83700,2946,4
0,0,2,0,15207,13203,28156,83700,2946,1
2,2,1,1,15207,13203,28156,83700,2946,4
1,0,1,2,15207,13203,28156,83700,2946,4
0,0,1,2,15207,13203,28156,83700,2946,4
0,0,2,0,15207,13203,28156,83700,2946,2
0,0,2,2,15207,13203,28156,83700,2946,0
0,0,1,2,15207,13203,28156,83700,2946,2
1,1,1,3,15208,13352,24178,399000,2635,4
0,1,1,3,15208,13352,24178,399000,2635,2
1,2,1,2,15208,13352,24178,399000,2635,4
1,1,1,3,15208,13352,24178,399000,2635,4
1,1,0,1,15208,13352,24178,399000,2635,1
1,1,1,4,15208,13352,24178,399000,2635,4
1,1,1,3,15208,13352,24178,399000,2635,4
2,1,1,1,15208,13352,24178,399000,2635,3
1,1,1,1,15208,13352,24178,399000,2635,4
2,2,1,4,15208,13352,24178,399000,2635,2
0,1,1,3,15208,13352,24178,399000,2635,4
1,1,1,2,15208,13352,24178,399000,2635,2
1,1,1,3,15208,13352,24178,399000,2635,4
1,1,1,3,15208,13352,24178,399000,2635,4
2,2,1,4,15208,13352,24178,399000,2635,4
0,0,1,1,15208,13352,24178,399000,2635,4
0,0,2,1,15208,13352,24178,399000,2635,1
0,1,1,2,15208,13352,24178,399000,2635,3
0,0,2,2,15208,13352,24178,399000,2635,4
0,0,1,3,15208,13352,24178,399000,2635,1
1,1,1,4,15208,13352,24178,399000,2635,4
0,1,2,2,15208,13352,24178,399000,2635,1
1,0,1,1,15208,13352,24178,399000,2635,2
0,1,1,2,15208,13352,24178,399000,2635,2
1,0,1,3,15208,13352,24178,399000,2635,4
1,0,2,0,15208,13352,24178,399000,2635,3
1,1,1,2,15208,13352,24178,399000,2635,4
0,2,1,1,15208,13352,24178,399000,2635,4
0,1,0,0,15209,12891,38292,149700,3718,0
1,1,1,2,15209,12891,38292,149700,3718,3
0,1,1,3,15209,12891,38292,149700,3718,4
0,0,1,2,15209,12891,38292,149700,3718,4
0,1,2,2,15209,12891,38292,149700,3718,2
2,0,1,1,15209,12891,38292,149700,3718,3
1,1,2,2,15209,12891,38292,149700,3718,1
0,0,1,2,15209,12891,38292,149700,3718,4
0,0,1,4,15209,12891,38292,149700,3718,4
1,1,2,2,15209,12891,38292,149700,3718,0
1,0,1,4,15209,12891,38292,149700,3718,4
2,2,2,1,15209,12891,38292,149700,3718,1
0,0,2,0,15209,12891,38292,149700,3718,3
1,1,1,2,15210,31216,27041,60400,5499,3
1,1,1,1,15210,31216,27041,60400,5499,3
0,1,2,2,15210,31216,27041,60400,5499,3
0,0,1,2,15210,31216,27041,60400,5499,4
1,1,0,2,15210,31216,27041,60400,5499,2
0,0,0,2,15210,31216,27041,60400,5499,2
0,0,1,1,15210,31216,27041,60400,5499,4
1,0,2,2,15211,12477,34067,110700,2770,4
0,1,0,2,15211,12477,34067,110700,2770,0
2,1,1,3,15211,12477,34067,110700,2770,4
0,1,1,2,15211,12477,34067,110700,2770,4
0,1,1,1,15211,12477,34067,110700,2770,4
1,0,1,2,15211,12477,34067,110700,2770,0
1,1,2,2,15211,12477,34067,110700,2770,3
0,0,1,2,15211,12477,34067,110700,2770,4
0,0,2,0,15211,12477,34067,110700,2770,2
0,0,2,2,15211,12477,34067,110700,2770,2
0,0,1,2,15211,12477,34067,110700,2770,3
0,0,2,1,15211,12477,34067,110700,2770,2
0,2,1,2,15211,12477,34067,110700,2770,2
0,0,1,1,15211,12477,34067,110700,2770,3
0,1,2,2,15211,12477,34067,110700,2770,3
1,0,2,3,15211,12477,34067,110700,2770,4
1,0,1,3,15211,12477,34067,110700,2770,4
0,0,1,1,15211,12477,34067,110700,2770,4
0,0,1,2,15211,12477,34067,110700,2770,4
0,0,1,2,15211,12477,34067,110700,2770,4
0,1,2,0,15212,31850,26712,87500,6275,3
2,1,1,3,15212,31850,26712,87500,6275,4
1,1,1,3,15212,31850,26712,87500,6275,1
1,0,1,3,15212,31850,26712,87500,6275,2
2,0,2,1,15212,31850,26712,87500,6275,3
1,0,1,4,15212,31850,26712,87500,6275,4
1,0,0,2,15212,31850,26712,87500,6275,0
0,1,1,1,15212,31850,26712,87500,6275,4
0,1,2,3,15212,31850,26712,87500,6275,2
1,1,1,4,15212,31850,26712,87500,6275,4
1,1,2,2,15212,31850,26712,87500,6275,4
