pedestrian,bicycle,approval,familiarity,ZipCode
0,0,0,0,15218
0,1,1,1,15218
0,1,1,1,15218
0,0,0,1,15218
2,1,1,0,15218
0,0,1,1,15218
0,0,1,1,15218
0,0,1,1,15218
0,1,2,0,15218
0,0,0,1,15218
0,1,1,1,15218
0,0,1,1,15218
0,0,1,0,15218
1,0,1,1,15218
0,1,1,1,15218
0,1,1,1,15218
0,1,1,0,15218
0,2,1,0,15218
1,1,1,1,15218
1,0,1,1,15218
1,0,1,1,15218
1,1,0,1,15218
0,0,1,0,15218
0,0,1,1,15218
2,2,2,1,15218
0,0,1,0,15218
0,0,1,0,15218
0,0,1,1,15218
2,2,1,1,15218
0,0,1,1,15218
0,0,1,0,15219
1,1,0,0,15219
1,1,1,1,15219
1,2,0,1,15219
1,1,0,1,15219
0,1,1,1,15219
0,1,1,1,15219
1,1,1,1,15219
0,1,1,1,15219
2,0,0,0,15219
1,0,0,1,15219
0,0,2,0,15219
1,1,1,0,15219
1,0,1,1,15219
1,1,0,0,15219
1,0,0,1,15219
0,0,0,1,15219
0,1,1,1,15219
1,1,1,1,15219
1,1,1,1,15219
2,2,2,0,15219
0,1,1,1,15220
1,1,1,0,15220
0,0,0,1,15220
0,0,1,1,15220
0,0,2,0,15220
2,2,1,1,15220
0,0,1,1,15220
0,0,1,1,15220
0,1,0,0,15221
1,0,1,1,15221
1,1,1,1,15221
0,1,0,1,15221
2,1,1,1,15221
2,2,1,0,15221
0,1,1,1,15221
1,1,1,1,15221
1,0,2,1,15221
0,1,0,1,15221
1,1,1,1,15221
2,1,1,0,15221
0,1,1,1,15221
0,1,1,1,15221
0,1,2,1,15221
1,1,1,1,15221
1,1,1,1,15221
0,0,1,1,15221
0,1,0,0,15221
0,0,1,1,15221
2,0,2,1,15221
0,0,2,0,15221
0,2,1,1,15221
2,2,1,1,15221
0,1,1,1,15221
0,0,0,1,15221
0,0,1,1,15221
0,0,1,1,15221
0,0,1,1,15221
0,0,0,0,15221
1,1,1,1,15221
1,1,0,1,15221
1,1,1,1,15221
1,0,2,1,15221
0,0,1,1,15221
2,2,1,1,15221
2,2,0,1,15221
2,2,2,0,15221
1,0,2,1,15221
0,0,2,0,15221
0,0,1,0,15221
0,0,1,0,15221
2,2,0,0,15221
0,1,0,1,15222
1,1,1,1,15222
1,1,0,1,15222
0,1,1,1,15222
0,1,1,1,15222
1,1,1,0,15222
0,1,1,1,15222
0,1,1,1,15222
1,1,1,1,15222
0,1,1,1,15222
1,1,1,1,15222
1,2,2,1,15222
0,1,1,1,15222
0,1,1,1,15222
0,1,1,1,15222
0,1,1,1,15222
0,1,1,1,15222
1,1,1,1,15222
1,1,1,1,15222
0,1,1,1,15222
1,1,1,1,15222
0,0,1,1,15222
0,0,1,1,15222
0,0,1,1,15222
0,0,1,1,15222
0,1,1,1,15222
0,0,1,0,15222
2,2,1,0,15222
0,0,1,1,15222
0,1,1,1,15222
0,1,1,1,15222
0,1,1,1,15222
1,1,1,1,15222
2,1,1,1,15222
0,1,1,1,15222
1,1,2,0,15222
0,1,1,0,15222
1,1,1,1,15223
1,2,2,1,15223
1,1,1,1,15223
2,2,0,1,15224
0,1,2,0,15224
